Abra,17.5833,120.7500
Agusan del Norte,9.1667,125.5000
Agusan del Sur,8.5000,125.8333
Aklan,11.6667,122.3333
Albay,13.2333,123.6333
Antique,11.2333,122.1000
Apayao,17.7500,121.2500
Aurora,15.8833,121.5500
Basilan,6.5667,122.0500
Bataan,14.6667,120.4167
Batanes,20.5917,121.8961
Batangas,13.8333,121.0000
Benguet,16.5000,120.6667
Biliran,11.5833,124.4833
Bohol,9.8333,124.1667
Bukidnon,7.9167,125.0833
Bulacan,15.0000,121.0833
Cagayan,18.443056,121.810833
Camarines Norte,14.166667,122.75
Camarines Sur,13.666667,123.333333
Camiguin,9.166667,124.716667
Capiz,11.383333,122.633333
Catanduanes,13.833333,124.25
Cavite,14.266667,120.866667
Cebu,10.316667,123.75
Compostela Valley,7.6,125.95
North Cotabato,7.2,124.85
South Cotabato,7.2,124.85
Davao del Norte,7.35,125.7
Davao del Sur,6.333333,125.5
Davao Occidental,6.083333,125.666667
Davao Oriental,7.166667,126.333333
Dinagat Islands,10.1,125.6
Eastern Samar,11.666667,125.5
Guimaras,10.566667,122.583333
Ifugao,16.833333,121.166667
Ilcos Norte,18.166667,120.75
Ilcos Sur,17.333333,120.583333
Iloilo,11,122.666667
Isabela,17,122
Kalinga,17.75,121.25
La Union,16.5,120.416667
Laguna,14.166667,121.333333
Lanao del Norte,6.580556,122.037778
Lanao del Sur,7.916667,124.333333
Leyte,11,124.85
Maguindanao,7.133333,124.3
Marinduque,13.4,121.966667
Masbate,12.166667,123.583333
Misamis Occidental,8.333333,123.7
Misamis Oriental,8.75,125
Mountain Province,17.083333,121.166667
Negros Occidental,10.416667,123
Negros Oriental,9.75,123
Northern Samar,12.333333,124.666667
Nueva Ecija,15.583333,121
Nueva Vizcaya,16.483333,121.15
Occidental Mindoro,13,120.916667
Oriental Mindoro,13,121.083333
Palawan,10.066667,118.905
Pampanga,15.066667,120.666667
Pangasinan,15.916667,120.333333
Quezon,14.166667,121.833333
Quirino,16.283333,121.583333
Rizal,14.666667,121.25
Romblon,12.55,122.283333
Samar,11.833333,125
Sarangani,5.866667,125.283333
Siquijor,9.2,123.5
Sorsogon,12.833333,123.916667
South Cotabato,6.166667,125
Southern Leyte,10.333333,125.083333
Sultan Kudarat,6.55,124.283333
Sulu,6,121
Surigao del Norte,9.666667,125.633333
Surigao del Sur,8.666667,126
Tarlac,15.5,120.5
Tawi-Tawi,5.166667,120.25
Zambales,15.333333,120.166667
Zamboanga del Norte,6.580556,122.037778
Zamboanga del Sur,7.833333,123.25
Zamboanga Sibugay,7.8,122.666667
Metropolitan Manila,14.583333,121
